v8-version,4,6,85,28,0
code-creation,Stub,2,0x65b7ab14dc0,2672,"RecordWriteStub"
code-creation,Stub,2,0x65b7ab15840,360,"StoreFastElementStub"
code-creation,Stub,2,0x65b7ab159c0,2702,"RecordWriteStub"
code-creation,Stub,2,0x65b7ab16460,188,"DoubleToIStub"
code-creation,Stub,2,0x65b7ab16520,938,"StoreFastElementStub"
code-creation,Stub,2,0x65b7ab168e0,336,"StoreFastElementStub"
code-creation,Stub,2,0x65b7ab16a40,188,"DoubleToIStub"
code-creation,Stub,2,0x65b7ab16b00,942,"StoreFastElementStub"
code-creation,Stub,2,0x65b7ab16ec0,332,"StoreFastElementStub"
code-creation,Stub,2,0x65b7ab17020,926,"StoreFastElementStub"
code-creation,Stub,2,0x65b7ab173c0,360,"StoreFastElementStub"
code-creation,Stub,2,0x65b7ab17540,954,"StoreFastElementStub"
code-creation,Stub,2,0x65b7ab17900,360,"StoreFastElementStub"
code-creation,Stub,2,0x65b7ab17a80,954,"StoreFastElementStub"
code-creation,Stub,2,0x65b7ab17e40,336,"StoreFastElementStub"
code-creation,Stub,2,0x65b7ab17fa0,938,"StoreFastElementStub"
code-creation,Stub,2,0x65b7ab18360,336,"StoreFastElementStub"
code-creation,Stub,2,0x65b7ab184c0,938,"StoreFastElementStub"
code-creation,Stub,2,0x65b7ab18880,572,"TypeofStub"
code-creation,Stub,2,0x65b7ab18ac0,372,"JSEntryStub"
code-creation,Stub,2,0x65b7ab18c40,372,"JSConstructEntryStub"
code-creation,Builtin,4,0x65b7ab18dc0,112,"Illegal"
code-creation,Builtin,4,0x65b7ab18e40,112,"EmptyFunction"
code-creation,Builtin,4,0x65b7ab18ec0,112,"ArrayPush"
code-creation,Builtin,4,0x65b7ab18f40,112,"ArrayPop"
code-creation,Builtin,4,0x65b7ab18fc0,112,"ArrayShift"
code-creation,Builtin,4,0x65b7ab19040,112,"ArrayUnshift"
code-creation,Builtin,4,0x65b7ab190c0,112,"ArraySlice"
code-creation,Builtin,4,0x65b7ab19140,112,"ArraySplice"
code-creation,Builtin,4,0x65b7ab191c0,112,"ArrayConcat"
code-creation,Builtin,4,0x65b7ab19240,117,"HandleApiCall"
code-creation,Builtin,4,0x65b7ab192c0,117,"HandleApiCallConstruct"
code-creation,Builtin,4,0x65b7ab19340,112,"HandleApiCallAsFunction"
code-creation,Builtin,4,0x65b7ab193c0,112,"HandleApiCallAsConstructor"
code-creation,Builtin,4,0x65b7ab19440,112,"RestrictedFunctionPropertiesThrower"
code-creation,Builtin,4,0x65b7ab194c0,112,"RestrictedStrictArgumentsPropertiesThrower"
code-creation,Builtin,4,0x65b7ab19540,410,"ArgumentsAdaptorTrampoline"
code-creation,Builtin,4,0x65b7ab196e0,183,"InOptimizationQueue"
code-creation,Builtin,4,0x65b7ab197a0,545,"JSConstructStubGeneric"
code-creation,Builtin,4,0x65b7ab199e0,265,"JSConstructStubForDerived"
code-creation,Builtin,4,0x65b7ab19b00,418,"JSConstructStubApi"
code-creation,Builtin,4,0x65b7ab19cc0,260,"JSEntryTrampoline"
code-creation,Stub,2,0x65b7ab19de0,199,"CallConstructStub"
code-creation,Builtin,4,0x65b7ab19ec0,239,"JSConstructEntryTrampoline"
code-creation,Builtin,4,0x65b7ab19fc0,233,"InterpreterEntryTrampoline"
code-creation,Builtin,4,0x65b7ab1a0c0,100,"InterpreterExitTrampoline"
code-creation,Builtin,4,0x65b7ab1a140,155,"CompileLazy"
code-creation,Builtin,4,0x65b7ab1a1e0,167,"CompileOptimized"
code-creation,Builtin,4,0x65b7ab1a2a0,167,"CompileOptimizedConcurrent"
code-creation,Builtin,4,0x65b7ab1a360,206,"NotifyDeoptimized"
code-creation,Builtin,4,0x65b7ab1a440,216,"NotifySoftDeoptimized"
code-creation,Builtin,4,0x65b7ab1a520,216,"NotifyLazyDeoptimized"
code-creation,Builtin,4,0x65b7ab1a600,193,"NotifyStubFailure"
code-creation,Builtin,4,0x65b7ab1a6e0,193,"NotifyStubFailureSaveDoubles"
code-creation,Builtin,4,0x65b7ab1a7c0,119,"LoadIC_Miss"
code-creation,Builtin,4,0x65b7ab1a840,119,"KeyedLoadIC_Miss"
code-creation,Builtin,4,0x65b7ab1a8c0,120,"StoreIC_Miss"
code-creation,Builtin,4,0x65b7ab1a940,120,"KeyedStoreIC_Miss"
code-creation,Builtin,6,0x65b7ab1a9c0,134,"LoadIC_Getter_ForDeopt"
code-creation,Stub,2,0x65b7ab1aa60,968,"NameDictionaryLookupStub"
code-creation,Builtin,7,0x65b7ab1ae40,1040,"KeyedLoadIC_Megamorphic"
code-creation,Builtin,7,0x65b7ab1b260,1036,"KeyedLoadIC_Megamorphic_Strong"
code-creation,Builtin,9,0x65b7ab1b680,136,"StoreIC_Setter_ForDeopt"
code-creation,Builtin,10,0x65b7ab1b720,120,"KeyedStoreIC_Initialize"
code-creation,Builtin,10,0x65b7ab1b7a0,120,"KeyedStoreIC_PreMonomorphic"
code-creation,Stub,2,0x65b7ab1b820,1822,"RecordWriteStub"
code-creation,Stub,2,0x65b7ab1bf40,1804,"RecordWriteStub"
code-creation,Stub,2,0x65b7ab1c660,1786,"RecordWriteStub"
code-creation,Stub,2,0x65b7ab1cd60,796,"RecordWriteStub"
code-creation,Stub,2,0x65b7ab1d080,1805,"RecordWriteStub"
code-creation,Builtin,10,0x65b7ab1d7a0,3146,"KeyedStoreIC_Megamorphic"
code-creation,Builtin,10,0x65b7ab1e400,120,"KeyedStoreIC_Initialize_Strict"
code-creation,Builtin,10,0x65b7ab1e480,120,"KeyedStoreIC_PreMonomorphic_Strict"
code-creation,Builtin,10,0x65b7ab1e500,3156,"KeyedStoreIC_Megamorphic_Strict"
code-creation,Stub,2,0x65b7ab1f160,434,"ToObjectStub"
code-creation,Builtin,4,0x65b7ab1f320,449,"FunctionCall"
code-creation,Stub,7,0x65b7ab1f500,381,"KeyedLoadICStub"
code-creation,Builtin,4,0x65b7ab1f680,488,"FunctionApply"
code-creation,Builtin,4,0x65b7ab1f880,488,"ReflectApply"
code-creation,Stub,2,0x65b7ab1fa80,199,"CallConstructStub"
code-creation,Builtin,4,0x65b7ab1fb60,333,"ReflectConstruct"
code-creation,Stub,2,0x65b7ab1fcc0,446,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,2,0x65b7ab1fe80,562,"InternalArraySingleArgumentConstructorStub"
code-creation,Stub,2,0x65b7ab200c0,478,"InternalArrayNArgumentsConstructorStub"
code-creation,Stub,2,0x65b7ab202a0,446,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,2,0x65b7ab20460,562,"InternalArraySingleArgumentConstructorStub"
code-creation,Stub,2,0x65b7ab206a0,478,"InternalArrayNArgumentsConstructorStub"
code-creation,Stub,2,0x65b7ab20880,206,"InternalArrayConstructorStub"
code-creation,Builtin,4,0x65b7ab20960,116,"InternalArrayCode"
code-creation,Stub,2,0x65b7ab209e0,603,"ArrayConstructorStub_Any"
code-creation,Builtin,4,0x65b7ab20c40,123,"ArrayCode"
code-creation,Builtin,4,0x65b7ab20cc0,482,"StringConstructCode"
code-creation,Builtin,4,0x65b7ab20ec0,175,"OnStackReplacement"
code-creation,Builtin,4,0x65b7ab20f80,110,"InterruptCheck"
code-creation,Builtin,4,0x65b7ab21000,162,"OsrAfterStackCheck"
code-creation,Builtin,4,0x65b7ab210c0,110,"StackCheck"
code-creation,Builtin,4,0x65b7ab21140,203,"MarkCodeAsToBeExecutedOnce"
code-creation,Builtin,4,0x65b7ab21220,203,"MarkCodeAsExecutedOnce"
code-creation,Builtin,4,0x65b7ab21300,194,"MarkCodeAsExecutedTwice"
code-creation,Builtin,4,0x65b7ab213e0,194,"MakeQuadragenarianCodeYoungAgainOddMarking"
code-creation,Builtin,4,0x65b7ab214c0,194,"MakeQuadragenarianCodeYoungAgainEvenMarking"
code-creation,Builtin,4,0x65b7ab215a0,194,"MakeQuinquagenarianCodeYoungAgainOddMarking"
code-creation,Builtin,4,0x65b7ab21680,194,"MakeQuinquagenarianCodeYoungAgainEvenMarking"
code-creation,Builtin,4,0x65b7ab21760,194,"MakeSexagenarianCodeYoungAgainOddMarking"
code-creation,Builtin,4,0x65b7ab21840,194,"MakeSexagenarianCodeYoungAgainEvenMarking"
code-creation,Builtin,4,0x65b7ab21920,194,"MakeSeptuagenarianCodeYoungAgainOddMarking"
code-creation,Builtin,4,0x65b7ab21a00,194,"MakeSeptuagenarianCodeYoungAgainEvenMarking"
code-creation,Builtin,4,0x65b7ab21ae0,194,"MakeOctogenarianCodeYoungAgainOddMarking"
code-creation,Builtin,4,0x65b7ab21bc0,194,"MakeOctogenarianCodeYoungAgainEvenMarking"
code-creation,Builtin,3,0x65b7ab21ca0,117,"LoadIC_Slow"
code-creation,Builtin,3,0x65b7ab21d20,117,"LoadIC_Slow_Strong"
code-creation,Builtin,3,0x65b7ab21da0,117,"KeyedLoadIC_Slow"
code-creation,Builtin,3,0x65b7ab21e20,117,"KeyedLoadIC_Slow_Strong"
code-creation,Builtin,3,0x65b7ab21ea0,118,"StoreIC_Slow"
code-creation,Builtin,3,0x65b7ab21f20,118,"KeyedStoreIC_Slow"
code-creation,Stub,2,0x65b7ab21fa0,972,"NameDictionaryLookupStub"
code-creation,Builtin,3,0x65b7ab22380,275,"LoadIC_Normal"
code-creation,Builtin,3,0x65b7ab224a0,275,"LoadIC_Normal_Strong"
code-creation,Stub,2,0x65b7ab225c0,991,"NameDictionaryLookupStub"
code-creation,Stub,2,0x65b7ab229a0,1786,"RecordWriteStub"
code-creation,Builtin,3,0x65b7ab230a0,347,"StoreIC_Normal"
code-creation,Builtin,4,0x65b7ab23200,199,"Return_DebugBreak"
code-creation,Builtin,4,0x65b7ab232e0,197,"Slot_DebugBreak"
code-creation,Builtin,4,0x65b7ab233c0,97,"PlainReturn_LiveEdit"
code-creation,Builtin,4,0x65b7ab23440,137,"FrameDropper_LiveEdit"
timer-event-start,"V8.ParseMicroSeconds",17784
timer-event-end,"V8.ParseMicroSeconds",18233
timer-event-start,"V8.CompileMicroSeconds",18247
timer-event-start,"V8.CompileFullCode",18299
timer-event-start,"V8.CompileFullCode",18341
code-creation,Stub,2,0x65b7ab234e0,406,"FastNewContextStub"
code-creation,Stub,2,0x65b7ab23680,2674,"RecordWriteStub"
code-creation,Stub,2,0x65b7ab24100,2710,"RecordWriteStub"
code-creation,Stub,2,0x65b7ab24ba0,746,"FastNewClosureStub"
code-creation,Stub,2,0x65b7ab24ea0,1831,"RecordWriteStub"
code-creation,Stub,2,0x65b7ab255e0,1834,"RecordWriteStub"
code-creation,StoreInitialize,9,0x65b7ab25d20,123,"args_count: 0"
timer-event-end,"V8.CompileFullCode",19130
code-creation,Function,0,0x65b7ab25da0,1260," native prologue.js:2:10",0x3f00d203e2a8,~
timer-event-end,"V8.CompileFullCode",19242
code-creation,Script,0,0x65b7ab262a0,244,"native prologue.js",0x3f00d203e3e8,~
timer-event-end,"V8.CompileMicroSeconds",19256
timer-event-start,"V8.IcMiss",19338
